Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
8bd43a9a-6934-482f-8bfd-3bdbc71febeb,2020-09-26 05:16:03,Running,,11.42,2:07:42,11:11,5.36,1618.0,134,,"","",2020-09-26-051603.gpx
bfab20ba-1f9f-4fb8-bf15-f84eabe6bf73,2020-09-24 06:29:25,Running,,5.52,1:03:38,11:32,5.21,785.0,73,,"","",2020-09-24-062925.gpx
cf4e2e9a-1951-4f49-8398-fcd9a231f01b,2020-09-22 05:14:58,Running,,5.47,1:01:58,11:19,5.30,779.0,71,,"","",2020-09-22-051458.gpx
8871da90-b23a-44fe-913b-06860212707e,2020-09-20 06:04:46,Running,,11.12,1:55:46,10:25,5.76,1602.0,172,,"","Had a great run!",2020-09-20-060446.gpx
d8a287f2-4a4d-47d6-870c-e31ea3df43d4,2020-09-18 05:57:10,Running,,5.97,1:06:36,11:09,5.38,848.0,53,,"","",2020-09-18-055710.gpx
e33b2828-e5d9-41a2-9579-f0d4d40b09ec,2020-09-16 20:34:05,Running,,9.82,1:44:19,10:37,5.65,1409.0,99,,"","",2020-09-16-203405.gpx
80456e7f-0dc4-4ca5-a0b3-3f0bb7e437f4,2020-09-14 05:14:31,Running,,7.95,1:25:29,10:45,5.58,1148.0,96,,"","",2020-09-14-051431.gpx
f1e72f39-7109-4bc8-8c73-fcf2aa70deff,2020-09-12 06:40:03,Running,,10.61,1:47:20,10:07,5.93,1530.0,105,,"","",2020-09-12-064003.gpx
eb6313cb-b082-4afe-9640-c70169385ed8,2020-09-10 05:27:28,Running,,5.48,1:00:59,11:07,5.40,782.0,71,,"","",2020-09-10-052728.gpx
873a162c-0853-429f-b774-5843dcc45c8b,2020-09-08 08:48:36,Running,,5.94,1:04:44,10:54,5.50,853.0,50,,"","",2020-09-08-084836.gpx
80709a62-52a5-4958-b7ba-c8f0e0ed8c8e,2020-09-06 05:37:00,Running,,9.85,1:45:31,10:43,5.60,1407.0,105,,"","",2020-09-06-053700.gpx
7642f127-9bf9-4ffc-a81c-9650dac1fe1b,2020-09-04 05:05:22,Running,,6.87,1:17:52,11:20,5.29,976.0,89,,"","",2020-09-04-050522.gpx
07c2153b-7883-4738-9cf8-90632896c146,2020-09-02 16:12:07,Running,,4.53,49:53,11:01,5.45,652.0,31,,"","",2020-09-02-161207.gpx
b98768f8-8ea3-4520-8764-1909fa13e0a7,2020-09-01 05:23:31,Running,,6.95,1:16:22,10:59,5.46,992.0,90,,"","",2020-09-01-052331.gpx
c0407c1d-bad6-4779-8536-54b3efaf9763,2020-08-30 06:30:00,Running,,9.55,1:30:00,9:26,6.36,1364.0,3,,"","My phone is completely dysfunctional, because of which I am adding  this information manually.",2020-08-30-063000.gpx
2dccab8d-2274-461c-b04b-cc3e88de73e3,2020-08-28 05:20:19,Running,,6.92,1:11:24,10:19,5.82,1002.0,81,,"","",2020-08-28-052019.gpx
69b44c2e-a759-41f3-b46c-718e43eabfc9,2020-08-26 05:15:28,Walking,,5.53,1:01:08,11:04,5.43,799.0,65,,"","",2020-08-26-051528.gpx
b7f270cc-ebbc-4a31-a9cf-633e2677b4d9,2020-08-24 05:19:36,Walking,,5.48,1:00:40,11:04,5.42,793.0,65,,"","",2020-08-24-051936.gpx
62f2d031-4fd6-408c-a143-f4f366af0b3d,2020-08-21 08:57:53,Running,,0.00,18:20,,,31.6002684433333,92,,"","",
af042a6e-e2c6-45a8-b84a-1348810c1b4d,2020-08-20 05:15:58,Running,,6.95,1:17:59,11:13,5.35,999.0,84,,"","",2020-08-20-051558.gpx
d3ae153a-dd1b-441d-a8e8-e2e0d1b7f75a,2020-08-18 06:18:42,Running,,6.00,1:02:15,10:23,5.78,857.0,42,,"","",2020-08-18-061842.gpx
